IRI	Label	Definition	Subclass of	Exact synonyms	Broad synonyms	Narrow synonyms	Related synonyms	Deprecated	Replaced by	Consider	Created by	Creation date
ID	LABEL	A obo:IAO_0000115	SC % SPLIT=,	A oboInOwl:hasExactSynonym SPLIT=,	A oboInOwl:hasBroadSynonym SPLIT=,	A oboInOwl:hasNarrowSynonym SPLIT=,	A oboInOwl:hasRelatedSynonym SPLIT=,	AT owl:deprecated^^xsd:boolean	AI obo:IAO_0100001 SPLIT=,	AI oboInOwl:consider SPLIT=,	AT oboInOwl:created_by^^xsd:string	AT oboInOwl:creation_date^^xsd:dateTime
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000364	obsolete tobacco wild fire							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000396		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000365	obsolete tomato leaf mold							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000209	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000366	obsolete tomato wilt							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000397	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000384	obsolete vine blight							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000430	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000385	obsolete vomiting							true			alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000387	obsolete wheat glume blotch							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000171	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000388	obsolete wheat powdery mildew							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000296	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000389	obsolete wheat scab							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000477	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000390	obsolete wheat stagonospora nodorum blotch							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000345	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000391	obsolete wheat stripe rust							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000490	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000392	obsolete wheat yellow rust							true		http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000400	alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000403	obsolete zoonosis Q fever							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000307		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000330	obsolete Septoria nodorum blotch							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000345		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000331	obsolete Septoria tritici blotch							true	http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000329		alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000001	disease										alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000005	aflatoxicosis		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000007	agalactia syndrome		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000008	airsacculitis		animal disease								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000009	Alternaria brown spot		spot								alaynecuzick	2019-02-27T14:11:00Z
http://purl.obolibrary.org/obo/phido.owl/PHIDO_0000010	Alternaria leaf blotch		leaf blotch								alaynecuzick	2019-02-27T14:11:00Z
